company_industry,skill,postings_with_skill,total_industry_postings,skill_share
Media / Entertainment,skill_sql,0,44,0
Media / Entertainment,skill_tableau,0,44,0
Nonprofit,skill_reporting,5,8,0.625
Nonprofit,skill_data_analysis,4,8,0.5
Nonprofit,skill_communication,1,8,0.125
Nonprofit,skill_database,1,8,0.125
Nonprofit,skill_cloud,0,8,0
Nonprofit,skill_data_visualization,0,8,0
Nonprofit,skill_etl,0,8,0
Nonprofit,skill_excel,0,8,0
Nonprofit,skill_machine_learning,0,8,0
Nonprofit,skill_powerbi,0,8,0
Nonprofit,skill_python,0,8,0
Nonprofit,skill_r,0,8,0
Nonprofit,skill_sas,0,8,0
Nonprofit,skill_sql,0,8,0
Nonprofit,skill_statistics,0,8,0
Nonprofit,skill_tableau,0,8,0
Other / Unknown,skill_data_analysis,28,71,0.39436619718309857
Other / Unknown,skill_reporting,20,71,0.28169014084507044
Other / Unknown,skill_data_visualization,4,71,0.056338028169014086
Other / Unknown,skill_database,4,71,0.056338028169014086
Other / Unknown,skill_powerbi,3,71,0.04225352112676056
Other / Unknown,skill_communication,2,71,0.028169014084507043
Other / Unknown,skill_sql,2,71,0.028169014084507043
Other / Unknown,skill_cloud,1,71,0.014084507042253521
Other / Unknown,skill_etl,1,71,0.014084507042253521
Other / Unknown,skill_excel,1,71,0.014084507042253521
Other / Unknown,skill_machine_learning,1,71,0.014084507042253521
Other / Unknown,skill_statistics,1,71,0.014084507042253521
Other / Unknown,skill_python,0,71,0
Other / Unknown,skill_r,0,71,0
Other / Unknown,skill_sas,0,71,0
Other / Unknown,skill_tableau,0,71,0
Real Estate,skill_data_analysis,2,21,0.09523809523809523
Real Estate,skill_reporting,2,21,0.09523809523809523
Real Estate,skill_cloud,0,21,0
Real Estate,skill_communication,0,21,0
Real Estate,skill_data_visualization,0,21,0
Real Estate,skill_database,0,21,0
Real Estate,skill_etl,0,21,0
Real Estate,skill_excel,0,21,0
Real Estate,skill_machine_learning,0,21,0
Real Estate,skill_powerbi,0,21,0
Real Estate,skill_python,0,21,0
Real Estate,skill_r,0,21,0
Real Estate,skill_sas,0,21,0
Real Estate,skill_sql,0,21,0
Real Estate,skill_statistics,0,21,0
Real Estate,skill_tableau,0,21,0
Retail / E-commerce,skill_data_analysis,26,35,0.7428571428571429
Retail / E-commerce,skill_reporting,14,35,0.4
Retail / E-commerce,skill_communication,2,35,0.05714285714285714
Retail / E-commerce,skill_cloud,1,35,0.02857142857142857
Retail / E-commerce,skill_data_visualization,1,35,0.02857142857142857
Retail / E-commerce,skill_etl,1,35,0.02857142857142857
Retail / E-commerce,skill_powerbi,1,35,0.02857142857142857
Retail / E-commerce,skill_statistics,1,35,0.02857142857142857
Retail / E-commerce,skill_database,0,35,0
Retail / E-commerce,skill_excel,0,35,0
Retail / E-commerce,skill_machine_learning,0,35,0
Retail / E-commerce,skill_python,0,35,0
Retail / E-commerce,skill_r,0,35,0
Retail / E-commerce,skill_sas,0,35,0
Retail / E-commerce,skill_sql,0,35,0
Retail / E-commerce,skill_tableau,0,35,0
Technology,skill_data_analysis,371,880,0.42159090909090907
Technology,skill_reporting,182,880,0.20681818181818182
Technology,skill_sql,110,880,0.125
Technology,skill_database,107,880,0.1215909090909091
Technology,skill_cloud,92,880,0.10454545454545454
Technology,skill_etl,83,880,0.09431818181818181
Technology,skill_python,67,880,0.07613636363636364
Technology,skill_data_visualization,63,880,0.0715909090909091
Technology,skill_communication,52,880,0.05909090909090909
Technology,skill_machine_learning,51,880,0.05795454545454545
Technology,skill_statistics,31,880,0.035227272727272725
Technology,skill_powerbi,29,880,0.03295454545454545
Technology,skill_tableau,21,880,0.023863636363636365
Technology,skill_excel,19,880,0.02159090909090909
Technology,skill_r,16,880,0.01818181818181818
Technology,skill_sas,2,880,0.0022727272727272726
Transportation / Logistics,skill_data_analysis,15,31,0.4838709677419355
Transportation / Logistics,skill_communication,4,31,0.12903225806451613
